"Date","SP500","ChangeSP500","Dow","ChangeDow","Nasdaq","ChangeNasdaq","Bitcoin","ChangeBitcoin","save$Value","disposable$Value","CPI","FederalFundsRate","3YrTreasuryYield","10YrTreasuryYield","30YrTreasuryYield","Unemployment","EquityMktUncertainty","EconomicPolicyUncertainty","CrudeOilPrice","FederalReserveLoans","FedReservesOnHand","EconomicPolicy","Index","ExpectedStockIncrease","ConsumerUnemployment","Prices","InterestRates","BusinessConditions"
2016-08-31,2170.95,"-0.001219176",18400.88,"-0.001701367",5213.22,"0.009897077",572.41,"-0.094287975",6.8,14172.3,241.176,0.82,0.75,2.4,3.02,5,5.99,221.37,105.56,76,2061.583,1.86868686868687,89.8,55.6,2.07142857142857,2.75757575757576,2.46938775510204,1.96739130434783
2016-07-31,2173.6,"0.035609807",18432.24,"0.028011728",5162.13,"0.065967741",632,"-0.05000977",6.8,14138.9,240.545,0.57,0.53,2.36,2.97,4.9,20.93,114.25,95.35,242,2131.792,1.82,90,54.8,2.14141414141414,2.81818181818182,2.46464646464646,1.90322580645161
2016-06-30,2098.86,"0.000906074",17929.99,"0.008027683",4842.67,"-0.021299257",665.27,"0.275098708",6.6,14085.5,240.101,0.56,0.52,2.45,3.05,4.8,15.24,139.29,92.95,207,2337.96,1.81818181818182,93.5,54,2.1,2.86868686868687,2.53535353535354,2.04597701149425
2016-05-31,2096.96,"0.015329492",17787.2,"0.000762928",4948.06,"0.036164813",521.74,"0.146303416",6.9,14052.1,240.222,0.55,0.5,2.45,3.06,4.9,57.57,127.18,91.73,297,2322.008,1.86868686868687,94.7,55,2.03030303030303,2.82828282828283,2.5050505050505,2.07865168539326
2016-04-30,2065.3,"0.00269937",17773.64,"0.005007043",4775.36,"-0.019403062",455.15,"0.091879573",7.2,14038.5,239.557,0.31,0.48,2.37,3.02,4.8,16.72,63.67,94.62,156,2256.344,1.79,89,52.7,2.15151515151515,2.83,2.57,1.94565217391304
2016-03-31,2059.74,"0.065991109",17685.09,"0.070752883",4869.85,"0.068429886",416.85,"-0.039316909",7.6,14018.4,238.992,0.31,0.34,1.84,2.58,5.1,20.12,95.82,86.2,120,2332.537,1.80612244897959,91,55,2.06,2.81818181818182,2.56565656565657,2
2016-02-29,1932.23,"-0.004128355",16516.5,"0.003048651",4557.95,"-0.012137106",433.91,"0.150070238",7.2,13984.9,238.08,0.29,0.28,1.6,2.32,5,13.1,34.93,79.93,70,2374.158,1.85858585858586,91.7,51,2.07070707070707,2.73,2.47474747474747,1.96703296703297
2016-01-31,1940.24,"-0.050735344",16466.3,"-0.055020278",4613.95,"-0.078575551",377.29,"-0.12688605",7.7,13978.7,237.336,0.3,0.33,1.58,2.23,4.9,27.44,45.98,72.39,32,2408.417,1.74747474747475,92,50.2,2.11111111111111,2.75,2.61616161616162,2.07692307692308
2015-12-31,2043.94,"-0.017530198",17425.03,"-0.016641723",5007.41,"-0.019821206",432.12,"0.146754419",7.4,13920.3,237.652,0.3,0.27,1.46,2.18,4.8,28.03,117.46,74.18,19,2421.445,1.76767676767677,92.6,56.1,2.04040404040404,2.78787878787879,2.65656565656566,2.03409090909091
2015-11-30,2080.41,"0.000504963",17719.92,"0.003191886",5108.67,"0.010867178",376.82,"0.165795254",7.3,13865.2,237.761,0.3,0.26,1.49,2.3,5,126.12,96.08,67.48,124,2395.752,1.76767676767677,91.3,52,1.98979591836735,2.82,2.55555555555556,2.06741573033708
2015-10-31,2079.36,"0.082983078",17663.54,"0.084670887",5053.75,"0.093845032",323.23,"0.363897211",7.5,13858.9,238.017,0.29,0.34,1.84,2.64,5.1,42.17,48.19,63.46,635,2306.241,1.76767676767677,90,55.6,2.07070707070707,2.82828282828283,2.55555555555556,2.01098901098901
2015-09-30,1920.03,"-0.02644282",16284.7,"-0.014722263",4620.17,"-0.032731011",236.99,"0.028557788",7.4,13832.2,237.733,0.3,0.22,1.83,2.66,5,9.85,45.03,63.97,94,2553.608,1.75757575757576,87.2,51.5,2.08163265306122,2.83,2.57575757575758,2
2015-08-31,1972.18,"-0.062580805",16528.03,"-0.065677739",4776.51,"-0.068594149",230.41,"-0.190663529",7.3,13814.3,237.498,0.25,0.21,1.78,2.61,5,10.06,36.42,60.56,167,2657.762,1.83838383838384,91.9,57.9,2.01,2.82828282828283,2.58585858585859,2.12222222222222
2015-07-31,2103.84,"0.01974204",17689.86,"0.003992733",5128.28,"0.028356464",284.69,"0.090891673",7.3,13782.3,238.033,0.29,0.33,1.74,2.61,5.1,76.71,65.74,59.26,252,2514.321,1.8469387755102,93.1,58.5,2.04040404040404,2.87,2.4949494949495,2.1685393258427
2015-06-30,2063.11,"-0.021011773",17619.51,"-0.02171878",4986.87,"-0.01640227",260.97,"0.12593839",7.4,13738.6,238.034,0.29,0.32,1.94,2.75,5.2,131.25,94.57,54.57,253,2682.256,1.86734693877551,96.1,63.1,1.94949494949495,2.85858585858586,2.58585858585859,2.28089887640449
2015-05-31,2107.39,"0.010491439",18010.68,"0.009537839",5070.03,"0.026026932",231.78,"-0.02028912",7.5,13703.7,237.657,0.2,0.16,2.27,3.01,5.3,57.65,59.74,62.03,197,2624.646,1.75510204081633,90.7,58.2,1.97979797979798,2.83838383838384,2.52,2.14444444444444
2015-04-30,2085.51,"0.008520763",17840.52,"0.003622838",4941.42,"0.008269926",236.58,"-0.030965839",7.6,13648.4,237.001,0.08,0.22,2.21,2.98,5.6,12.52,61.99,59.37,207,2530.324,1.85858585858586,95.9,60.4,1.91919191919192,2.82828282828283,2.58,2.26086956521739
2015-03-31,2067.89,"-0.017396056",17776.12,"-0.019665025",4900.89,"-0.012620051",244.14,"-0.042099894",7.7,13608,236.222,0.07,0.08,2.16,2.93,5.4,10.98,46.01,58.88,96,2510.791,1.77551020408163,93,58.8,1.93939393939394,2.88,2.58585858585859,2.17391304347826
2015-02-28,2104.5,"0.054892506",18132.7,"0.056379424",4963.53,"0.070824812",254.87,"0.109722646",8.1,13621.1,235.976,0.07,-0.01,2.06,2.87,5.4,45.36,77.75,63.87,61,2593.777,1.8,95.4,60.5,1.93939393939394,2.78787878787879,2.43,2.20454545454545
2015-01-31,1994.99,"-0.031040847",17164.95,"-0.036925176",4635.24,"-0.021285671",229.67,"-0.276310814",8,13550.3,235.342,0.08,0.08,2.21,2.95,5.5,74.79,113.96,73.05,15,2706.627,1.8469387755102,98.1,60,1.9,2.71717171717172,2.42857142857143,2.34408602150538
2014-12-31,2058.9,"-0.004188512",17823.07,"-0.000289989",4736.05,"-0.011599393",317.36,"-0.155418352",7.7,13536.8,234.747,0.08,0.08,2.2,2.92,5.7,17.11,29.32,74.41,8,2328.963,1.77777777777778,93.6,61.5,1.94,2.76767676767677,2.45454545454545,2.17977528089888
2014-11-30,2067.56,"0.024533584",17828.24,"0.025170035",4791.63,"0.034743907",375.76,"0.097494013",7.3,13467.1,236.252,0.08,0.01,2.35,3.11,5.6,60.07,122.02,70.96,30,2665.153,1.73737373737374,88.8,59.9,1.91,2.78787878787879,2.46938775510204,2.04494382022472
2014-10-31,2018.05,"0.023201456",17390.52,"0.020396763",4630.74,"0.030567122",342.38,"-0.121381646",7.1,13407.7,236.983,0.08,0.01,2.12,2.88,5.8,10.27,86.03,70.94,145,2574.784,1.72448979591837,86.9,57.2,1.96969696969697,2.83,2.44897959183674,2.05494505494505
2014-09-30,1972.29,"-0.015513859",17042.9,"-0.003248832",4493.39,"-0.018968314",389.68,"-0.187658954",7.2,13353,237.43,0.08,0.01,2.05,2.75,5.7,19.44,39.66,69.69,111,2486.574,1.63636363636364,84.6,59.4,2.08080808080808,2.8989898989899,2.50505050505051,1.98913043478261
2014-08-31,2003.37,"0.037655322",17098.45,"0.032309383",4580.27,"0.048171872",479.7,"-0.181901903",7,13305.6,237.477,0.06,0.03,1.94,2.54,5.9,9.11,88.25,62.9,206,2629.809,1.62244897959184,82.5,55.8,2.05050505050505,2.86,2.49494949494949,1.86363636363636
2014-07-31,1930.67,"-0.015079863",16563.3,"-0.015647843",4369.77,"-0.008713347",586.36,"-0.09368286",7.2,13244.1,237.46,0.06,0.02,2,2.6,6.1,11.29,70.02,61.63,331,2732.58,1.5959595959596,81.8,55.9,2.06122448979592,2.92929292929293,2.53535353535354,1.88636363636364
2014-06-30,1960.23,"0.019058313",16826.6,"0.006545964",4408.18,"0.039023057",646.97,"0.053834376",7.1,13185.2,237.498,0.06,0.02,1.68,2.25,6.2,67.26,82.5,65.51,335,2778.794,1.59183673469388,82.5,58.1,2.02020202020202,2.88888888888889,2.5050505050505,1.96470588235294
2014-05-31,1923.57,"0.021030282",16717.17,"0.008222141",4242.62,"0.03112362",613.92,"0.369653972",7.1,13116.7,237.231,0.06,0.04,2.17,2.75,6.1,101.77,127.2,59.43,255,2809.004,1.66326530612245,81.9,58.7,1.94949494949495,2.9,2.61224489795918,1.97619047619048
2014-04-30,1883.95,"0.006200797",16580.84,"0.007484661",4114.56,"-0.020107216",448.23,"-0.037616747",6.9,13046.8,236.918,0.08,0.02,2.18,2.89,6.3,10.73,41.6,58.3,274,2640.303,1.65656565656566,84.1,56.3,2.05,2.88888888888889,2.52525252525253,2.01162790697674
2014-03-31,1872.34,"0.006932157",16457.66,"0.008329397",4198.99,"-0.025331235",465.75,"-0.178441022",6.7,12969.8,236.468,0.07,0.01,2.35,3.07,6.2,7.5,103.08,62.37,137,2629.199,1.58585858585859,80,56.5,2.15151515151515,2.89,2.54545454545455,1.86516853932584
2014-02-28,1859.45,"0.043117038",16321.71,"0.039675518",4308.12,"0.049767537",566.91,"-0.297239336",6.6,12873.2,236.028,0.07,0.02,2.52,3.21,6.7,44.64,41.03,65.57,121,2609.418,1.61616161616162,81.6,55.1,2.16161616161616,2.88888888888889,2.55,1.92307692307692
2014-01-31,1782.59,"-0.035582895",15698.85,"-0.052954576",4103.88,"-0.017408939",806.69,"0.080065338",6.7,12797.9,235.547,0.07,0.03,2.35,3.09,6.7,10.34,31.79,64.97,105,2612.237,1.59,81.2,57.9,2.06122448979592,2.88888888888889,2.56,1.92134831460674
2013-12-31,1848.36,"0.023562833",16576.66,"0.030476035",4176.59,"0.028744621",746.89,"-0.343104661",6,12711.9,235.288,0.08,0.03,2.58,3.32,6.6,32.83,87.58,58.7,100,2599.898,1.63636363636364,82.5,56.7,2.04,2.85,2.57142857142857,1.93103448275862
2013-11-30,1805.81,"0.028049461",16086.41,"0.034778637",4059.89,"0.03576285",1137,"4.510322768",5.8,12659.6,234.719,0.09,0.04,2.53,3.34,6.7,13.15,43.97,56.26,127,2519.198,1.60204081632653,75.1,57,2.14,2.83838383838384,2.53061224489796,1.76923076923077
2013-10-31,1756.54,"0.04459576",15545.75,"0.02750093",3919.71,"0.039302873",206.34,"0.623573845",6,12608.2,234.1,0.08,0.04,2.48,3.33,6.9,23.26,62.38,49.83,192,2474.155,1.55102040816327,73.2,53,2.11111111111111,2.82828282828283,2.56122448979592,1.64516129032258
2013-09-30,1681.55,"0.029749475",15129.67,"0.021563357",3771.48,"0.050589576",127.09,"0.008490716",6.5,12623.9,233.669,0.09,0.03,2.67,3.47,7.2,14.01,35.13,53.04,172,2466.785,1.64,77.5,53.9,2.1010101010101,2.86,2.58163265306122,1.84444444444444
2013-08-31,1632.97,"-0.031298013",14810.31,"-0.044467771",3589.87,"-0.010065162",126.02,"0.295835476",6.4,12566.2,233.544,0.06,0.05,2.73,3.56,7.2,23.53,45.06,54.31,212,2424.917,1.64646464646465,82.1,56.6,2.02020202020202,2.84848484848485,2.56565656565657,1.94505494505495
2013-07-31,1685.73,"0.049462111",15499.54,"0.039567795",3626.37,"0.065560861",97.25,"0.002680689",6.3,12517.6,233.456,0.06,0.05,2.66,3.59,7.2,7.48,71.2,47.97,268,2278.603,1.7,85.1,54.2,2.02,2.87878787878788,2.62,2.04545454545455
2013-06-30,1606.28,"-0.014999325",14909.6,"-0.013626347",3403.25,"-0.015237665",96.99,"-0.2375",6.5,12513.2,232.9,0.07,0.02,2.67,3.61,7.3,28.96,44.12,46.84,285,2222.481,1.76767676767677,84.1,55.8,1.98989898989899,2.83838383838384,2.49494949494949,2.04494382022472
2013-05-31,1630.74,"0.020762783",15115.57,"0.018583135",3455.91,"0.03818805",127.2,"-0.048971963",6.4,12483.2,232.445,0.07,0.07,3.04,3.96,7.5,85.34,130.03,43.33,320,2154.522,1.71717171717172,84.5,55.9,2.01010101010101,2.85858585858586,2.32323232323232,2
2013-04-30,1597.57,"0.018085764",14839.8,"0.017920862",3328.79,"0.018751224",133.75,"0.477900552",6.2,12414.9,231.893,0.07,0.06,2.75,3.82,7.5,12.93,93.59,48.46,384,1981.754,1.61616161616162,76.4,54.5,2.06060606060606,2.86868686868687,2.36734693877551,1.84090909090909
2013-03-31,1569.19,"0.035987799",14578.54,"0.037287016",3267.52,"0.033963148",90.5,"1.711204314",5.9,12387.3,231.797,0.07,0.04,2.57,3.63,7.6,29.64,67.75,53.13,418,1979.2,1.68686868686869,78.6,50.9,2.06060606060606,2.86868686868687,2.37113402061856,1.83333333333333
2013-02-28,1514.68,"0.011060603",14054.49,"0.013990035",3160.19,"0.005747693",33.38,"0.635472807",5.6,12366,232.282,0.06,0.02,2.64,3.69,7.5,72.64,156.8,45.95,418,1818.122,1.71428571428571,77.6,52.4,2.04081632653061,2.84,2.36734693877551,1.85393258426966
2013-01-31,1498.11,"0.050428064",13860.58,"0.057725269",3142.13,"0.040609238",20.41,"0.510732791",5.9,12355.2,232.937,0.07,0.03,2.78,3.7,7.7,122.62,101.91,44.94,385,1776.369,1.66666666666667,73.8,48.7,2.09,2.87878787878788,2.36363636363636,1.82022471910112
2012-12-31,1426.19,"0.007068311",13104.14,"0.006031209",3019.51,"0.003079489",13.51,"0.074781225",11.6,13088.6,231.679,0.09,0.04,2.6,3.64,8,47.02,77.62,40.69,399,1683.532,1.68367346938776,72.9,46.6,2.1,2.80808080808081,2.29292929292929,1.71428571428571
2012-11-30,1416.18,"0.002846703",13025.58,"-0.00541215",3010.24,"0.011087487",12.57,"0.122321429",9.5,12780.1,231.221,0.07,0.04,2.52,3.52,7.9,53.44,122.13,38.02,579,1632.732,1.77319587628866,82.7,48.7,1.9375,2.78571428571429,2.29896907216495,1.96666666666667
2012-10-31,1412.16,"-0.019789404",13096.46,"-0.025352884",2977.23,"-0.04460518",11.2,"-0.096045198",8.7,12622.9,231.249,0.09,0.04,2.16,3.3,7.7,15.26,66.84,40.28,613,1503.482,1.75510204081633,82.6,50.6,1.88775510204082,2.83673469387755,2.2680412371134,1.95454545454545
2012-09-30,1440.67,"0.02423609",13437.13,"0.026452848",3116.23,"0.016061455",12.39,"0.219488189",8.1,12500.4,231.638,0.14,0.05,1.7,2.88,7.8,8.92,81.56,36.69,1018,1485.795,1.75510204081633,78.3,50.8,1.93,2.83,2.22448979591837,1.85057471264368
2012-08-31,1406.58,"0.019763362",13090.84,"0.006315783",3066.97,"0.043357419",10.16,"0.086631016",7.6,12373.5,231.015,0.09,0.07,1.87,3.1,7.8,29.59,154.03,36.76,1262,1494.414,1.65656565656566,74.3,45.5,2.04040404040404,2.85,2.29591836734694,1.69318181818182
2012-07-31,1379.32,"0.012597639",13008.68,"0.009983626",2939.52,"0.001522972",9.35,"0.406015038",7.8,12364.1,229.918,0.14,0.11,1.89,3.1,8.1,39.44,234.74,34.74,1732,1424.89,1.65656565656566,72.3,44.8,2.05050505050505,2.7979797979798,2.24489795918367,1.70114942528736
2012-06-30,1362.16,"0.039554921",12880.09,"0.039265903",2935.05,"0.038095878",6.65,"0.283783784",8.6,12445.5,228.59,0.15,0.07,2.02,3.17,8.2,50.56,126.24,34.27,2420,1502.317,1.68,73.2,46.5,2.04040404040404,2.78,2.31632653061224,1.77173913043478
2012-05-31,1310.33,"-0.062650671",12393.45,"-0.062070756",2827.34,"-0.071895639",5.18,"0.046464646",8.6,12459.4,228.524,0.09,0.05,1.78,2.95,8.2,205.1,249.99,32.15,3693,1551.501,1.73469387755102,79.3,48.4,1.94949494949495,2.79591836734694,2.28282828282828,1.89772727272727
2012-04-30,1397.91,"-0.007497497",13213.63,"0.000120345",3046.36,"-0.014623638",4.95,"0.018518519",8.5,12469.6,228.713,0.16,0.08,1.62,2.81,8.2,22.01,251.56,31.09,4858,1461.231,1.71717171717172,76.4,47.9,1.97979797979798,2.82828282828283,2.35051546391753,1.85057471264368
2012-03-31,1408.47,"0.031332377",13212.04,"0.020071695",3091.57,"0.042023803",4.86,"0",8.2,12398.1,229.187,0.18,0.11,1.72,2.85,8.2,21.05,141.64,30.33,5509,1522.91,1.68686868686869,76.2,52.8,1.8989898989899,2.87,2.27551020408163,1.76404494382022
2012-02-29,1365.68,"0.04058945",12952.07,"0.025264171",2966.89,"0.054391863",4.86,"-0.113138686",7.8,12328.2,228.807,0.09,0.1,1.65,2.82,8.2,18.38,217,28.29,6575,1539.135,1.64,75.3,46.7,1.96,2.84848484848485,2.22448979591837,1.79775280898876
2012-01-31,1312.41,"0.043574717",12632.91,"0.03399615",2813.84,"0.080106712",5.48,"0.289411765",7.8,12227.6,228.329,0.13,0.09,1.57,2.68,8.3,36.3,259.97,31.59,7061,1526.338,1.55555555555556,75,43,2.02,2.84,2.3265306122449,1.8021978021978
2011-12-31,1257.61,"0.008540771",12217.56,"0.014269016",2605.15,"-0.005796958",4.25,"0.430976431",7.5,12103,227.842,0.13,0.11,1.51,2.56,8.3,8.98,109.48,30.76,7580,1607.919,1.55555555555556,69.9,41.9,2.11111111111111,2.80808080808081,2.26530612244898,1.67032967032967
2011-11-30,1246.96,"-0.005058645",12045.68,"0.007584268",2620.34,"-0.023867442",2.97,"-0.086153846",6.6,11982.6,227.223,0.09,0.09,1.67,2.76,8.5,44.88,222.24,30.72,8180,1529.646,1.52525252525253,63.7,41.9,2.1,2.84848484848485,2.29591836734694,1.47252747252747
2011-10-31,1253.3,"0.107723038",11955.01,"0.095445224",2684.41,"0.111372857",3.25,"-0.36770428",6.5,11962.4,227.169,0.16,0.07,1.59,2.67,8.6,128.82,108.36,28.14,9082,1534.135,1.49494949494949,60.8,42.9,2.22222222222222,2.83,2.21428571428571,1.38202247191011
2011-09-30,1131.42,"-0.071762013",10913.38,"-0.060287441",2415.4,"-0.063602459",5.14,"-0.373170732",6.5,11949.4,226.75,0.16,0.1,1.95,3.12,8.8,45.16,111.81,28.25,9821,1520.197,1.53061224489796,59.5,42.9,2.25252525252525,2.83838383838384,2.28282828282828,1.35106382978723
2011-08-31,1218.89,"-0.056791098",11613.53,"-0.043621801",2579.46,"-0.064185635",8.2,"-0.392592593",6.9,11948.9,226.597,0.09,0.07,2.23,3.35,9,43.17,82.22,33.55,11004,1568.317,1.47474747474747,55.8,41.4,2.31,2.84,2.48484848484848,1.34065934065934
2011-07-31,1292.28,"-0.021474437",12143.24,"-0.021837649",2756.38,"-0.006179873",13.5,"-0.161490683",6.9,11928.8,226.106,0.1,0.08,1.98,3.08,9,84.35,51.9,35.87,11462,1576.801,1.63636363636364,63.7,49.2,2.17,2.86,2.40816326530612,1.50549450549451
2011-06-30,1320.64,"-0.018257508",12414.34,"-0.012366953",2773.52,"-0.021789581",16.1,"0.842105263",6.7,11868.4,225.395,0.11,0.06,1.83,2.94,9,43.37,92.52,32.94,11706,1611.435,1.73737373737374,71.5,50.7,2.05,2.81818181818182,2.27551020408163,1.70454545454545
2011-05-31,1345.2,"-0.013500928",12569.79,"-0.018793119",2835.3,"-0.013307628",8.74,"2.034722222",6.5,11827,224.806,0.04,0.02,1.89,2.89,9.1,223.59,193.99,29.42,11968,1652.667,1.77777777777778,74.3,51.8,1.96969696969697,2.8989898989899,2.47959183673469,1.82022471910112
2011-04-30,1363.61,"0.028495358",12810.54,"0.039839347",2873.54,"0.033249792",2.88,"2.692307692",6.6,11808.8,224.806,0.1,0.01,2.08,3.06,9,46.02,90.16,26.27,12845,1617.276,1.70408163265306,69.8,49.3,2.08080808080808,2.90909090909091,2.44444444444444,1.70454545454545
2011-03-31,1325.83,"-0.001047302",12319.73,"0.007638427",2781.07,"-0.000431302",0.78,"-0.093023256",6.6,11780.4,224.093,0.09,0.01,2.17,3.16,9.1,31,106.27,28.85,14270,1571.447,1.70707070707071,67.5,48.4,2.05050505050505,2.91919191919192,2.46464646464646,1.56043956043956
2011-02-28,1327.22,"0.031956583",12226.34,"0.028120751",2782.27,"0.030439839",0.86,"0.653846154",7.2,11765.9,223.046,0.06,0.02,1.92,2.9,9,38.93,106.29,29.67,16798,1471.501,1.85,77.5,50.8,1.93877551020408,2.83838383838384,2.43877551020408,1.84210526315789
2011-01-31,1286.12,"0.02264559",11891.93,"0.027157826",2700.08,"0.017795821",0.52,"0.733333333",6.9,11701.6,221.898,0.08,0.02,2.23,3.6,9,105,152.92,28.38,19254,1450.291,1.71717171717172,74.2,50.6,2.01010101010101,2.81,2.43877551020408,1.85555555555556
2010-12-31,1257.64,"0.065300072",11577.51,"0.051925219",2652.87,"0.061899825",0.3,"0.428571429",6.5,11614.1,221.187,0.11,0.1,2.82,4.12,9.1,107.25,320.02,26.94,21025,1265.869,1.71,74.5,50.6,2.05050505050505,2.73737373737374,2.41414141414141,1.76404494382022
2010-11-30,1180.55,"-0.002290283",11006.02,"-0.010115582",2498.23,"-0.003661148",0.21,"0.105263158",6.1,11520.9,220.472,0.07,0.03,3.18,4.38,9.3,5.63,128.68,25.52,23259,1078.051,1.69,71.6,50.5,2.08080808080808,2.77777777777778,2.25252525252525,1.67777777777778
2010-10-31,1183.26,"0.036855941",11118.49,"0.030630188",2507.41,"0.0585953",0.19,"2.166666667",6.3,11488.1,219.59,0.1,0.06,3.05,4.22,9.8,18.75,71.4,27.02,45084,1027.089,1.65656565656566,67.7,46.4,2.13265306122449,2.67676767676768,2.31313131313131,1.62921348314607
2010-09-30,1141.2,"0.087551104",10788.05,"0.077219333",2368.62,"0.120428755",0.06,"0",6.5,11450.7,219.035,0.09,0.04,3.32,4.4,9.4,104.46,75.96,26.27,46685,1011.124,1.75757575757576,68.2,45.2,2.14141414141414,2.64646464646465,2.22222222222222,1.58064516129032
2010-08-31,1049.33,"-0.047449165",10014.72,"-0.043113184",2114.03,"-0.062389675",0.06,"0",6.5,11439.6,218.275,0.1,0.09,3.47,4.51,9.5,125.02,81.91,24.42,47564,1003.206,1.80808080808081,68.9,45.4,2.12,2.68,2.32323232323232,1.65934065934066
2010-07-31,1101.6,"0.068777833",10465.94,"0.070791752",2254.7,"0.068963228",0.06,"0",6.4,11386.8,217.923,0.16,0.15,3.42,4.49,9.5,50.61,84.82,20.74,49773,995.183,1.72727272727273,67.8,44.7,2.11111111111111,2.68686868686869,2.35714285714286,1.62637362637363
